Hash,State,County,Number of Bridges,Number of residents,Pct of Medium to Fair Condition Bridges,Pct of Poor Condition Bridges,Primary and Commercial Airports,Route miles of freight railroad,Route miles of passenger railroad and rail transit,Roads Acceptable,Number of returns,Adjust gross income,Total income amount,Salaries and wages amount,State and local income taxes amount,Real estate taxes amount,Total taxes paid amount,Residential energy tax credit amount,Population served,Water systems,Cities served,Water system per capita
Alabama Lawre,Alabama,Lawrence County,214,33435,0.96728972,0.03271028,0,27.8,0,0.880672042,13410,643339,647913,499208,1938,396,2472,179,25170,2,3,8390
Alabama Limes,Alabama,Limestone County,311,90255,0.971061093,0.028938907,0,42.1,0,0.880672042,41930,2805250,2829097,2087684,21090,5945,23960,337,96455,4,4,24113.75
Alabama Lownd,Alabama,Lowndes County,157,10565,0.987261146,0.012738854,0,46.7,0,0.880672042,4630,181621,183712,136805,730,228,1067,197,12961,6,6,2160.166667
Alabama Macon,Alabama,Macon County,177,19685,0.870056497,0.129943503,0,26.4,0,0.880672042,7320,265947,267949,193368,1562,453,2343,123,24753,4,5,4950.6
Alabama Madis,Alabama,Madison County,690,349975,0.97826087,0.02173913,1,52.5,4.8,0.880672042,173430,13006785,13132262,9224876,124327,39679,128802,780,517150,8,9,57461.11111
Alabama Maren,Alabama,Marengo County,203,20065,0.9408867,0.0591133,0,110.6,0,0.880672042,7970,371703,375218,288257,1872,433,2173,74,26442,7,7,3777.428571
Alabama Mario,Alabama,Marion County,255,30240,0.980392157,0.019607843,0,21.4,0,0.880672042,10840,482301,486703,372288,1781,350,1931,0,33963,8,9,3773.666667
Alabama Marsh,Alabama,Marshall County,170,94535,0.911764706,0.088235294,0,16.3,0,0.880672042,39240,1995502,2016147,1432561,12601,3332,11768,52,132366,9,9,14707.33333
Alabama Mobil,Alabama,Mobile County,592,414290,0.971283784,0.028716216,1,151.5,29.9,0.880672042,172290,9372909,9474505,6742535,87183,23067,80122,2911,464768,15,17,27339.29412
Alabama Monro,Alabama,Monroe County,145,21975,0.889655172,0.110344828,0,80.8,0,0.880672042,7830,356891,360347,267824,1650,344,1999,36,27367,7,8,3420.875
Alabama Montg,Alabama,Montgomery County,584,227390,0.98630137,0.01369863,1,99.6,0,0.880672042,96560,5484719,5551538,3740944,54641,14429,50662,1579,247389,8,8,30923.625
Alabama Morga,Alabama,Morgan County,263,119555,0.984790875,0.015209125,0,40.6,0,0.880672042,52400,3030613,3055649,2104763,20994,4817,20708,460,156510,6,6,26085
Alabama Perry,Alabama,Perry County,163,9855,0.938650307,0.061349693,0,7.7,0,0.880672042,3490,115820,116877,93902,461,132,709,111,11067,3,3,3689
Alabama Picke,Alabama,Pickens County,239,20040,0.916317992,0.083682008,0,58,0,0.880672042,7210,314834,317272,245117,1722,271,1527,101,27429,3,5,5485.8
Alabama Rando,Alabama,Randolph County,166,22615,0.93373494,0.06626506,0,30.8,0,0.880672042,8970,409350,412681,306329,2238,712,2529,49,27051,5,5,5410.2
Alabama Russe,Alabama,Russell County,205,58635,0.970731707,0.029268293,0,31.7,0,0.880672042,23080,946548,954816,733501,5752,1706,7153,228,74149,4,5,14829.8
Alabama St. C,Alabama,St. Clair County,182,86575,0.983516484,0.016483516,0,86.5,21,0.880672042,37330,2175731,2194892,1656919,14673,3108,16299,501,85319,16,17,5018.764706
Alabama Shelb,Alabama,Shelby County,343,205950,0.982507289,0.017492711,0,160.9,5,0.880672042,96620,8378274,8478922,5748314,112676,33200,102229,1040,199008,16,16,12438
Alabama Sumte,Alabama,Sumter County,245,13285,0.918367347,0.081632653,0,27.2,27.2,0.880672042,4730,168329,169967,132384,650,143,924,0,19689,4,4,4922.25
Alabama Tusca,Alabama,Tuscaloosa County,480,202470,0.972916667,0.027083333,0,107.1,41.7,0.880672042,83000,5033282,5084217,3521527,47418,11372,41993,1463,274410,11,11,24946.36364
Alabama Walke,Alabama,Walker County,273,65595,0.937728938,0.062271062,0,112,0,0.880672042,25070,1544020,1555595,950286,11715,1917,6988,279,86217,15,15,5747.8
Alabama Washi,Alabama,Washington County,179,16910,0.877094972,0.122905028,0,28.5,0,0.880672042,6370,334569,336938,269633,1487,238,2190,144,21480,13,14,1534.285714
Alabama Wilco,Alabama,Wilcox County,168,11120,0.839285714,0.160714286,0,53.2,0,0.880672042,4210,156654,158306,118010,617,242,1016,68,16437,6,6,2739.5
Alabama Winst,Alabama,Winston County,79,24015,0.936708861,0.063291139,0,22.8,0,0.880672042,9000,452439,457558,322523,2423,608,2248,0,30621,5,5,6124.2
Alaska Ancho,Alaska,Anchorage Municipality,129,299320,0.937984496,0.062015504,1,108.6,100.7,0.769478458,145600,11695746,11827841,8156201,7775,95838,91260,755,299650,174,174,1722.126437
Alaska Bethe,Alaska,Bethel Census Area,6,17885,0.833333333,0.166666667,6,\N,\N,0.769478458,7130,284999,286597,235904,26,168,327,0,19514,66,66,295.6666667
Alaska Brist,Alaska,Bristol Bay Borough,3,940,0.333333333,0.666666667,1,\N,\N,0.769478458,490,31965,32542,21071,0,0,0,0,5874,35,35,167.8285714
Alaska Denal,Alaska,Denali Borough,23,2125,1,0,0,83.1,80.9,0.769478458,1230,86057,86878,58281,0,0,0,0,19984,60,60,333.0666667
Alaska Dilli,Alaska,Dillingham Census Area,11,4980,0.727272727,0.272727273,1,\N,\N,0.769478458,2280,106613,108404,73334,0,141,207,0,6734,23,23,292.7826087
Alaska Fairb,Alaska,Fairbanks North Star Borough,98,100150,0.897959184,0.102040816,1,77.4,36.5,0.769478458,46180,3226999,3255475,2304367,959,11240,11455,472,155917,73,73,2135.849315
Alaska Haine,Alaska,Haines Borough,13,2530,0.846153846,0.153846154,1,\N,\N,0.769478458,1300,87482,88827,39396,0,181,265,0,2418,6,6,403
Alaska Junea,Alaska,Juneau City and Borough,53,32525,0.943396226,0.056603774,1,\N,\N,0.769478458,16850,1333134,1351129,848815,773,7203,8704,0,41002,12,13,3154
Alaska Kenai,Alaska,Kenai Peninsula Borough,86,57635,0.860465116,0.139534884,3,52.9,51.7,0.769478458,28510,1976081,2000491,1237098,1467,6717,9001,297,50095,214,216,231.9212963
Alaska Ketch,Alaska,Ketchikan Gateway Borough,92,13715,0.826086957,0.173913043,1,\N,\N,0.769478458,7130,479161,486672,318449,303,1626,2083,0,16133,36,36,448.1388889
Alaska Kodia,Alaska,Kodiak Island Borough,24,13920,0.958333333,0.041666667,1,\N,\N,0.769478458,6670,406083,413024,276017,58,1918,2406,0,14240,15,15,949.3333333
Alaska Lake ,Alaska,Lake and Peninsula Borough,6,1410,1,0,1,\N,\N,0.769478458,680,27062,27375,20764,0,0,0,0,\N,\N,\N,\N
Alaska Matan,Alaska,Matanuska-Susitna Borough,115,98680,0.939130435,0.060869565,0,201.3,193.8,0.769478458,46810,3285401,3318237,2307449,1480,17188,18102,336,89979,315,323,278.5727554
Alaska Nome ,Alaska,Nome Census Area,30,9880,0.933333333,0.066666667,8,\N,\N,0.769478458,3730,195491,196659,156288,0,268,357,0,\N,\N,\N,\N
Alaska Sitka,Alaska,Sitka City and Borough,35,8920,0.857142857,0.142857143,1,\N,\N,0.769478458,4570,313834,319449,186666,149,1027,1111,0,9645,3,3,3215
Alaska Skagw,Alaska,Skagway Municipality,\N,1015,\N,\N,1,18.4,18.4,0.769478458,760,47236,48117,30466,0,0,46,0,12005,13,13,923.4615385
Alaska South,Alaska,Southeast Fairbanks Census Area,71,6970,0.901408451,0.098591549,0,\N,\N,0.769478458,3240,190363,191765,136533,0,102,169,0,10176,57,57,178.5263158
Alaska Valde,Alaska,Valdez-Cordova Census Area,108,9520,0.916666667,0.083333333,2,3.1,3.1,0.769478458,4950,325434,329484,222823,37,685,821,0,14524,56,56,259.3571429
Alaska Wrang,Alaska,Wrangell City and Borough,\N,2400,\N,\N,1,\N,\N,0.769478458,1090,60289,61372,36858,0,140,207,0,5933,3,3,1977.666667
Alaska Yakut,Alaska,Yakutat City and Borough,3,645,1,0,1,\N,\N,0.769478458,240,13062,13229,9674,0,0,0,0,863,4,4,215.75
Alaska Yukon,Alaska,Yukon-Koyukuk Census Area,73,5600,0.890410959,0.109589041,3,38.3,38.3,0.769478458,2450,93377,93949,67738,0,0,0,0,6379,34,34,187.6176471
Arizona Apach,Arizona,Apache County,256,72345,0.96875,0.03125,0,124,53.7,0.813937707,24860,994058,1000758,796847,1634,668,2572,239,21152,49,50,423.04
Arizona Cochi,Arizona,Cochise County,501,128175,0.974051896,0.025948104,0,139.3,101.6,0.813937707,53160,2690140,2714947,1792039,10784,7733,17873,534,128551,102,103,1248.067961
Arizona Cocon,Arizona,Coconino County,403,138065,0.975186104,0.024813896,1,285.6,196.2,0.813937707,61230,3772634,3821484,2499224,32762,16942,37357,771,169123,110,110,1537.481818
Arizona Graha,Arizona,Graham County,168,37530,0.952380952,0.047619048,0,90.2,0,0.813937707,12120,616515,621244,511499,2809,1638,4599,544,27253,16,16,1703.3125
Arizona Green,Arizona,Greenlee County,89,9225,0.943820225,0.056179775,0,41.2,0,0.813937707,3490,212377,213031,195361,416,103,537,0,7881,12,12,656.75
Arizona La Pa,Arizona,La Paz County,302,20305,0.947019868,0.052980132,0,75.1,0,0.813937707,6640,264226,266913,175083,1012,997,2164,45,35723,85,86,415.3837209
Arizona Maric,Arizona,Maricopa County,2702,4088550,0.998519615,0.001480385,1,296.2,68.9,0.813937707,1945070,144985140,146682753,99282245,1749318,851632,1668009,52143,4089464,227,228,17936.24561
Arizona Mohav,Arizona,Mohave County,623,203630,0.983948636,0.016051364,0,122.8,119.5,0.813937707,86120,4120422,4166371,2430193,26448,16845,37420,2481,223976,111,111,2017.801802
Arizona Navaj,Arizona,Navajo County,267,108210,0.966292135,0.033707865,1,118.5,54.7,0.813937707,40760,1830035,1846399,1312897,7669,5579,13255,507,90849,62,62,1465.306452
Arizona Pinal,Arizona,Pinal County,704,397605,0.984375,0.015625,0,200.7,69.3,0.813937707,160860,8652516,8727956,6076686,38316,33030,71454,4561,391328,92,93,4207.827957
Arizona Santa,Arizona,Santa Cruz County,133,46545,0.984962406,0.015037594,0,30.2,0,0.813937707,20930,970213,982173,655368,5048,3477,6417,329,47576,37,38,1252
Arizona Yavap,Arizona,Yavapai County,540,218585,0.987037037,0.012962963,1,213.9,48.4,0.813937707,110410,6749906,6840206,3353269,58673,38724,73815,2686,213984,243,245,873.4040816
Arkansas Arkan,Arkansas,Arkansas County,157,18570,0.98089172,0.01910828,0,19.7,0,0.796760502,7440,388761,396949,269783,4059,748,2803,43,29812,0,11,2710.181818
Arkansas Ashle,Arkansas,Ashley County,103,20990,1,0,0,53.9,0,0.796760502,7800,365958,369553,274898,2093,368,2062,52,20400,0,14,1457.142857
Arkansas Baxte,Arkansas,Baxter County,82,40990,1,0,0,35.2,0,0.796760502,18020,898287,909004,517946,7802,1844,5835,94,32964,0,54,610.4444444
Arkansas Bento,Arkansas,Benton County,385,245230,0.927272727,0.072727273,1,64.4,0,0.796760502,120540,15144211,15223536,7154861,289350,42877,104158,1246,332665,0,65,5117.923077
Arkansas Boone,Arkansas,Boone County,97,37300,0.969072165,0.030927835,1,30,0,0.796760502,15530,766162,775464,539340,5994,1314,4438,87,35287,0,23,1534.217391
Arkansas Bradl,Arkansas,Bradley County,109,11095,0.990825688,0.009174312,0,38.2,0,0.796760502,4080,174446,176475,128989,886,135,874,0,16223,0,7,2317.571429
Arkansas Calho,Arkansas,Calhoun County,109,5210,0.963302752,0.036697248,0,37.1,0,0.796760502,1870,93431,94275,73953,370,50,388,0,5925,0,7,846.4285714
Arkansas Carro,Arkansas,Carroll County,115,27690,0.965217391,0.034782609,0,\N,\N,0.796760502,12230,525955,532628,345775,3515,1100,3289,67,23624,0,47,502.6382979
Arkansas Chico,Arkansas,Chicot County,90,11190,0.988888889,0.011111111,0,48.7,0,0.796760502,3750,157650,160303,113325,1352,280,1130,40,12353,0,7,1764.714286
Arkansas Clark,Arkansas,Clark County,204,22685,0.965686275,0.034313725,0,34.9,29.6,0.796760502,8210,396473,400243,276273,2816,627,2440,0,21808,0,13,1677.538462
Arkansas Clebu,Arkansas,Cleburne County,52,25585,1,0,0,\N,\N,0.796760502,10350,510807,517602,317028,4119,1316,4166,0,51054,0,9,5672.666667
Arkansas Cleve,Arkansas,Cleveland County,84,8420,0.988095238,0.011904762,\N,21.3,0,0.796760502,3080,162973,164328,125186,851,126,888,0,12909,0,6,2151.5
Arkansas Colum,Arkansas,Columbia County,132,24170,0.984848485,0.015151515,0,47.1,0,0.796760502,8730,456459,461660,320076,4663,957,4051,29,24093,0,15,1606.2
Arkansas Conwa,Arkansas,Conway County,122,21060,0.991803279,0.008196721,0,22,0,0.796760502,8220,415014,419072,298280,2967,553,2218,0,22744,0,6,3790.666667
Arkansas Craig,Arkansas,Craighead County,436,102885,0.95412844,0.04587156,1,70.9,0,0.796760502,42900,2469035,2502067,1755664,32036,7093,21416,104,113614,0,16,7100.875
Arkansas Crawf,Arkansas,Crawford County,248,61925,0.899193548,0.100806452,0,56.1,32.3,0.796760502,24130,1183000,1192495,893521,8624,2109,8430,137,56516,0,15,3767.733333
Arkansas Critt,Arkansas,Crittenden County,234,49510,0.97008547,0.02991453,0,88.5,0,0.796760502,20140,917587,928762,699341,8825,2244,9362,495,47901,0,15,3193.4
Arkansas Cross,Arkansas,Cross County,129,17330,0.937984496,0.062015504,0,69.8,0,0.796760502,6850,301447,306013,236076,1992,364,1887,30,22757,0,8,2844.625
Arkansas Dalla,Arkansas,Dallas County,110,7740,0.936363636,0.063636364,0,7.3,0,0.796760502,2650,115197,116161,86577,597,85,479,0,13375,0,6,2229.166667
Arkansas Desha,Arkansas,Desha County,83,12235,0.975903614,0.024096386,0,48.2,0,0.796760502,4720,184106,187637,141713,1194,241,1200,85,12072,0,12,1006
Arkansas Faulk,Arkansas,Faulkner County,210,120415,0.985714286,0.014285714,0,19.4,0,0.796760502,50670,3033602,3064230,2235854,33674,8710,27269,231,143256,0,14,10232.57143
Arkansas Frank,Arkansas,Franklin County,140,17800,0.914285714,0.085714286,0,24.7,0,0.796760502,6680,314390,316956,232531,1682,305,1466,0,18964,0,14,1354.571429
Arkansas Fulto,Arkansas,Fulton County,102,12185,0.950980392,0.049019608,0,13.9,0,0.796760502,4430,174224,176041,125844,412,130,485,0,13957,0,17,821
Arkansas Garla,Arkansas,Garland County,300,97120,0.98,0.02,1,23.3,0,0.796760502,43450,2391378,2418074,1410146,26768,7247,20565,230,117766,0,28,4205.928571
Arkansas Grant,Arkansas,Grant County,119,18045,1,0,0,\N,\N,0.796760502,7430,414329,417307,319684,2749,570,2540,0,38491,0,11,3499.181818
Arkansas Green,Arkansas,Greene County,246,43745,0.943089431,0.056910569,0,32.8,9.7,0.796760502,17510,863484,874209,641622,5756,1142,4300,50,121811,0,9,13534.55556
Arkansas Hemps,Arkansas,Hempstead County,175,22210,0.977142857,0.022857143,0,80.1,21.7,0.796760502,8370,329691,332685,263007,1519,285,1482,0,18162,0,14,1297.285714
Arkansas Hot S,Arkansas,Hot Spring County,222,33440,0.932432432,0.067567568,0,38.5,26.3,0.796760502,12420,576854,582135,421923,3704,708,2823,0,38274,0,9,4252.666667
Arkansas Howar,Arkansas,Howard County,117,13485,0.965811966,0.034188034,0,43.4,0,0.796760502,5420,229422,231576,173163,1185,175,1005,0,15744,0,8,1968
Arkansas Indep,Arkansas,Independence County,183,37030,0.989071038,0.010928962,0,51.3,1,0.796760502,14940,753071,761053,563784,6563,1221,4132,0,42496,0,15,2833.066667
Arkansas Izard,Arkansas,Izard County,98,13460,0.979591837,0.020408163,0,41.7,0,0.796760502,4790,204241,206402,144859,953,263,1006,0,12194,0,10,1219.4
Arkansas Jacks,Arkansas,Jackson County,136,17495,0.985294118,0.014705882,0,42.1,36.4,0.796760502,5660,236537,240395,179981,1400,232,1112,0,28857,0,14,2061.214286
Arkansas Jeffe,Arkansas,Jefferson County,347,72385,0.959654179,0.040345821,0,92.4,0,0.796760502,27620,1228763,1239378,902615,10209,2608,10564,460,79650,0,16,4978.125
Arkansas Johns,Arkansas,Johnson County,158,26025,0.981012658,0.018987342,0,27.1,0,0.796760502,9810,422778,426880,326966,2196,487,1977,60,29341,0,12,2445.083333
Arkansas Lafay,Arkansas,Lafayette County,72,7125,0.958333333,0.041666667,\N,40.9,0,0.796760502,2440,96764,97938,78358,482,82,521,0,8086,0,8,1010.75
Arkansas Lawre,Arkansas,Lawrence County,127,16915,0.937007874,0.062992126,0,62.4,23.1,0.796760502,6140,250330,254485,187284,995,130,879,0,19730,0,11,1793.636364
Arkansas Linco,Arkansas,Lincoln County,110,13935,0.972727273,0.027272727,0,13.6,0,0.796760502,3810,170182,172270,133009,788,161,951,58,17034,0,6,2839
Arkansas Littl,Arkansas,Little River County,86,12615,0.906976744,0.093023256,0,85.4,0,0.796760502,4870,218111,219570,170664,710,167,930,0,12076,0,13,928.9230769
Arkansas Logan,Arkansas,Logan County,153,21935,0.934640523,0.065359477,0,\N,\N,0.796760502,8370,354997,358722,274378,1220,248,1278,0,21171,0,18,1176.166667
Arkansas Lonok,Arkansas,Lonoke County,185,71280,0.951351351,0.048648649,0,13.4,13.4,0.796760502,30400,1738383,1754936,1322268,13848,3511,12776,115,68853,0,17,4050.176471
Arkansas Madis,Arkansas,Madison County,148,15760,0.783783784,0.216216216,0,\N,\N,0.796760502,6520,294469,297695,221784,1908,317,1320,0,19149,0,8,2393.625
Arkansas Mario,Arkansas,Marion County,63,16405,0.984126984,0.015873016,0,23.8,0,0.796760502,6480,271832,274660,168450,827,335,1066,0,18897,0,25,755.88
Arkansas Mille,Arkansas,Miller County,215,43665,0.995348837,0.004651163,1,46.6,18.8,0.796760502,17410,843132,851265,617288,1333,1721,3917,46,69969,0,13,5382.230769
Arkansas Missi,Arkansas,Mississippi County,310,44200,0.909677419,0.090322581,0,73.4,0,0.796760502,15770,719587,726461,567591,4647,941,4853,42,47133,0,26,1812.807692
Arkansas Monro,Arkansas,Monroe County,86,7540,0.953488372,0.046511628,0,37.7,0,0.796760502,2840,106762,108879,80195,305,42,381,0,12334,0,6,2055.666667
Arkansas Montg,Arkansas,Montgomery County,202,9100,0.97029703,0.02970297,0,\N,\N,0.796760502,3230,131567,133147,83445,599,107,559,0,5051,0,11,459.1818182
Arkansas Nevad,Arkansas,Nevada County,134,8670,0.940298507,0.059701493,0,16.5,13.8,0.796760502,3240,128336,129230,99805,397,96,470,0,6505,0,5,1301
Arkansas Newto,Arkansas,Newton County,63,7990,0.952380952,0.047619048,0,\N,\N,0.796760502,2880,109678,111012,75547,333,99,408,0,15396,0,18,855.3333333
Arkansas Ouach,Arkansas,Ouachita County,167,24730,0.982035928,0.017964072,0,67.8,0,0.796760502,9420,443519,446842,327025,2623,600,2726,0,24709,0,12,2059.083333
Arkansas Perry,Arkansas,Perry County,118,10245,0.966101695,0.033898305,0,36,0,0.796760502,3870,182710,184577,139983,626,160,726,0,8653,0,7,1236.142857
Arkansas Phill,Arkansas,Phillips County,113,19930,0.769911504,0.230088496,0,18.4,0,0.796760502,6750,245266,249548,176451,1483,378,1840,34,20598,0,9,2288.666667
Arkansas Poins,Arkansas,Poinsett County,200,24130,0.87,0.13,0,61.1,0,0.796760502,8750,364560,370492,275796,1847,256,1468,0,123047,0,15,8203.133333
Arkansas Prair,Arkansas,Prairie County,93,8335,0.870967742,0.129032258,0,4.4,0,0.796760502,3240,151280,155029,104639,559,113,618,0,12247,0,7,1749.571429
Arkansas Pulas,Arkansas,Pulaski County,708,391805,0.973163842,0.026836158,1,136.9,29.6,0.796760502,177030,12056109,12188348,8099359,220744,65870,142246,1501,423769,0,30,14125.63333
Arkansas Rando,Arkansas,Randolph County,150,17585,0.96,0.04,0,2.7,2.5,0.796760502,7090,282879,286648,219623,1359,179,1232,0,22723,0,13,1747.923077
Arkansas St. F,Arkansas,St. Francis County,205,27025,0.970731707,0.029268293,0,60.9,0,0.796760502,8380,314007,318533,231559,1845,379,2030,74,34614,0,11,3146.727273
Arkansas Salin,Arkansas,Saline County,218,115575,0.949541284,0.050458716,0,24.4,21.1,0.796760502,52360,3289299,3321219,2324244,30546,10163,30695,243,109181,0,17,6422.411765
Arkansas Scott,Arkansas,Scott County,196,10660,0.954081633,0.045918367,0,22.6,0,0.796760502,3840,148557,150244,112504,371,56,448,0,3030,0,3,1010
Arkansas Searc,Arkansas,Searcy County,65,7940,0.969230769,0.030769231,0,\N,\N,0.796760502,2960,98168,99461,73715,339,53,347,0,16609,0,15,1107.266667
Arkansas Sebas,Arkansas,Sebastian County,328,127350,0.945121951,0.054878049,1,36.6,0,0.796760502,53130,2933783,2960095,2043600,37377,8002,23496,182,126050,0,23,5480.434783
Arkansas Sevie,Arkansas,Sevier County,164,17195,0.914634146,0.085365854,0,56.1,0,0.796760502,6080,249899,251945,205955,1063,173,1053,0,13797,0,7,1971
Arkansas Sharp,Arkansas,Sharp County,109,17025,0.963302752,0.036697248,0,16.8,0,0.796760502,6440,252314,255509,175902,1211,295,1236,0,17335,0,18,963.0555556
Arkansas Stone,Arkansas,Stone County,73,12505,1,0,0,\N,\N,0.796760502,4650,183338,186017,119529,764,203,835,0,16590,0,11,1508.181818
Arkansas Union,Arkansas,Union County,285,40335,0.985964912,0.014035088,1,39.9,0,0.796760502,16840,1024404,1034812,716878,13828,2479,7973,99,39557,0,28,1412.75
