Hash,State,County,Number of returns,Adjust gross income,Total income amount,Salaries and wages amount,State and local income taxes amount,Real estate taxes amount,Total taxes paid amount,Residential energy tax credit amount
Alabama Autau,Alabama,Autauga County,24360.0000,1421008.0000,1433014.0000,1059239.0000,7362.0000,1872.0000,8673.0000,196.0000
Alabama Baldw,Alabama,Baldwin County,100970.0000,6932600.0000,7022633.0000,4314569.0000,65080.0000,18061.0000,60386.0000,874.0000
Alabama Barbo,Alabama,Barbour County,9050.0000,397058.0000,400492.0000,277667.0000,1923.0000,594.0000,2297.0000,33.0000
Alabama Bloun,Alabama,Blount County,22620.0000,1173906.0000,1185281.0000,904928.0000,5249.0000,1196.0000,5669.0000,98.0000
Alabama Bullo,Alabama,Bullock County,3800.0000,128850.0000,130332.0000,99217.0000,521.0000,149.0000,854.0000,39.0000
Alabama Butle,Alabama,Butler County,7930.0000,337438.0000,341495.0000,251339.0000,1455.0000,342.0000,1539.0000,120.0000
Alabama Calho,Alabama,Calhoun County,47160.0000,2287435.0000,2307336.0000,1616963.0000,11584.0000,3313.0000,13366.0000,381.0000
Alabama Chamb,Alabama,Chambers County,13900.0000,571937.0000,576315.0000,453338.0000,3424.0000,767.0000,3443.0000,984.0000
Alabama Chero,Alabama,Cherokee County,9700.0000,463874.0000,468093.0000,327596.0000,2124.0000,750.0000,2736.0000,44.0000
Alabama Chilt,Alabama,Chilton County,17230.0000,863841.0000,871488.0000,662979.0000,4042.0000,970.0000,4400.0000,138.0000
Alabama Choct,Alabama,Choctaw County,4890.0000,236953.0000,238994.0000,185781.0000,1065.0000,231.0000,1377.0000,84.0000
Alabama Clark,Alabama,Clarke County,9720.0000,479266.0000,483093.0000,356346.0000,2328.0000,491.0000,3493.0000,174.0000
Alabama Clebu,Alabama,Cleburne County,5720.0000,288420.0000,290939.0000,224082.0000,1458.0000,287.0000,1460.0000,0.0000
Alabama Coffe,Alabama,Coffee County,21670.0000,1222626.0000,1234376.0000,872408.0000,6169.0000,2051.0000,7329.0000,53.0000
Alabama Colbe,Alabama,Colbert County,24000.0000,1281706.0000,1294012.0000,899576.0000,7675.0000,1846.0000,7540.0000,62.0000
Alabama Conec,Alabama,Conecuh County,4630.0000,184512.0000,186340.0000,138122.0000,630.0000,175.0000,835.0000,0.0000
Alabama Coosa,Alabama,Coosa County,3940.0000,179193.0000,180435.0000,131782.0000,657.0000,165.0000,898.0000,93.0000
Alabama Covin,Alabama,Covington County,14640.0000,733944.0000,742325.0000,518980.0000,4181.0000,827.0000,3780.0000,69.0000
Alabama Crens,Alabama,Crenshaw County,5690.0000,244643.0000,247360.0000,192511.0000,771.0000,205.0000,969.0000,36.0000
Alabama Cullm,Alabama,Cullman County,34200.0000,1834804.0000,1854971.0000,1374828.0000,11808.0000,2271.0000,10707.0000,23.0000
Alabama Dalla,Alabama,Dallas County,14970.0000,587549.0000,593721.0000,441079.0000,3346.0000,769.0000,3714.0000,648.0000
Alabama DeKal,Alabama,DeKalb County,27130.0000,1217559.0000,1230722.0000,920653.0000,6390.0000,1386.0000,5169.0000,37.0000
Alabama Elmor,Alabama,Elmore County,35750.0000,2109217.0000,2130264.0000,1480412.0000,13140.0000,3030.0000,14248.0000,468.0000
Alabama Escam,Alabama,Escambia County,13960.0000,639688.0000,645912.0000,457826.0000,2954.0000,727.0000,3348.0000,100.0000
Alabama Etowa,Alabama,Etowah County,42110.0000,2071302.0000,2093866.0000,1463866.0000,14710.0000,3127.0000,13636.0000,323.0000
Alabama Fayet,Alabama,Fayette County,6260.0000,282226.0000,284479.0000,222997.0000,891.0000,167.0000,1039.0000,25.0000
Alabama Frank,Alabama,Franklin County,11850.0000,525088.0000,530800.0000,401885.0000,2464.0000,479.0000,1995.0000,0.0000
Alabama Genev,Alabama,Geneva County,10180.0000,435708.0000,440010.0000,329863.0000,1235.0000,339.0000,1579.0000,0.0000
Alabama Green,Alabama,Greene County,3240.0000,106000.0000,106751.0000,85849.0000,623.0000,131.0000,778.0000,29.0000
Alabama Henry,Alabama,Henry County,7150.0000,355894.0000,359097.0000,264277.0000,2037.0000,425.0000,1995.0000,25.0000
Alabama Houst,Alabama,Houston County,45090.0000,2572971.0000,2601504.0000,1836992.0000,25655.0000,4981.0000,19065.0000,100.0000
Alabama Jacks,Alabama,Jackson County,20830.0000,1026747.0000,1036446.0000,764084.0000,3936.0000,1128.0000,4323.0000,31.0000
Alabama Jeffe,Alabama,Jefferson County,290920.0000,21771554.000,22045800.000,14423685.000,349976.0000,121718.0000,272042.0000,6907.0000
Alabama Lamar,Alabama,Lamar County,5290.0000,249261.0000,250971.0000,186034.0000,580.0000,92.0000,704.0000,0.0000
Alabama Laude,Alabama,Lauderdale County,38430.0000,2167764.0000,2194436.0000,1450619.0000,13243.0000,4048.0000,13556.0000,63.0000
Alabama Lawre,Alabama,Lawrence County,13410.0000,643339.0000,647913.0000,499208.0000,1938.0000,396.0000,2472.0000,179.0000
Alabama Limes,Alabama,Limestone County,41930.0000,2805250.0000,2829097.0000,2087684.0000,21090.0000,5945.0000,23960.0000,337.0000
Alabama Lownd,Alabama,Lowndes County,4630.0000,181621.0000,183712.0000,136805.0000,730.0000,228.0000,1067.0000,197.0000
Alabama Macon,Alabama,Macon County,7320.0000,265947.0000,267949.0000,193368.0000,1562.0000,453.0000,2343.0000,123.0000
Alabama Madis,Alabama,Madison County,173430.0000,13006785.000,13132262.000,9224876.0000,124327.0000,39679.0000,128802.0000,780.0000
Alabama Maren,Alabama,Marengo County,7970.0000,371703.0000,375218.0000,288257.0000,1872.0000,433.0000,2173.0000,74.0000
Alabama Mario,Alabama,Marion County,10840.0000,482301.0000,486703.0000,372288.0000,1781.0000,350.0000,1931.0000,0.0000
Alabama Marsh,Alabama,Marshall County,39240.0000,1995502.0000,2016147.0000,1432561.0000,12601.0000,3332.0000,11768.0000,52.0000
Alabama Mobil,Alabama,Mobile County,172290.0000,9372909.0000,9474505.0000,6742535.0000,87183.0000,23067.0000,80122.0000,2911.0000
Alabama Monro,Alabama,Monroe County,7830.0000,356891.0000,360347.0000,267824.0000,1650.0000,344.0000,1999.0000,36.0000
Alabama Montg,Alabama,Montgomery County,96560.0000,5484719.0000,5551538.0000,3740944.0000,54641.0000,14429.0000,50662.0000,1579.0000
Alabama Morga,Alabama,Morgan County,52400.0000,3030613.0000,3055649.0000,2104763.0000,20994.0000,4817.0000,20708.0000,460.0000
Alabama Perry,Alabama,Perry County,3490.0000,115820.0000,116877.0000,93902.0000,461.0000,132.0000,709.0000,111.0000
Alabama Picke,Alabama,Pickens County,7210.0000,314834.0000,317272.0000,245117.0000,1722.0000,271.0000,1527.0000,101.0000
Alabama Rando,Alabama,Randolph County,8970.0000,409350.0000,412681.0000,306329.0000,2238.0000,712.0000,2529.0000,49.0000
Alabama Russe,Alabama,Russell County,23080.0000,946548.0000,954816.0000,733501.0000,5752.0000,1706.0000,7153.0000,228.0000
Alabama St. C,Alabama,St. Clair County,37330.0000,2175731.0000,2194892.0000,1656919.0000,14673.0000,3108.0000,16299.0000,501.0000
Alabama Shelb,Alabama,Shelby County,96620.0000,8378274.0000,8478922.0000,5748314.0000,112676.0000,33200.0000,102229.0000,1040.0000
Alabama Sumte,Alabama,Sumter County,4730.0000,168329.0000,169967.0000,132384.0000,650.0000,143.0000,924.0000,0.0000
Alabama Tusca,Alabama,Tuscaloosa County,83000.0000,5033282.0000,5084217.0000,3521527.0000,47418.0000,11372.0000,41993.0000,1463.0000
Alabama Walke,Alabama,Walker County,25070.0000,1544020.0000,1555595.0000,950286.0000,11715.0000,1917.0000,6988.0000,279.0000
Alabama Washi,Alabama,Washington County,6370.0000,334569.0000,336938.0000,269633.0000,1487.0000,238.0000,2190.0000,144.0000
Alabama Wilco,Alabama,Wilcox County,4210.0000,156654.0000,158306.0000,118010.0000,617.0000,242.0000,1016.0000,68.0000
Alabama Winst,Alabama,Winston County,9000.0000,452439.0000,457558.0000,322523.0000,2423.0000,608.0000,2248.0000,0.0000
Alaska Ancho,Alaska,Anchorage Municipality,145600.0000,11695746.000,11827841.000,8156201.0000,7775.0000,95838.0000,91260.0000,755.0000
Alaska Bethe,Alaska,Bethel Census Area,7130.0000,284999.0000,286597.0000,235904.0000,26.0000,168.0000,327.0000,0.0000
Alaska Brist,Alaska,Bristol Bay Borough,490.0000,31965.0000,32542.0000,21071.0000,0.0000,0.0000,0.0000,0.0000
Alaska Denal,Alaska,Denali Borough,1230.0000,86057.0000,86878.0000,58281.0000,0.0000,0.0000,0.0000,0.0000
Alaska Dilli,Alaska,Dillingham Census Area,2280.0000,106613.0000,108404.0000,73334.0000,0.0000,141.0000,207.0000,0.0000
Alaska Fairb,Alaska,Fairbanks North Star Borough,46180.0000,3226999.0000,3255475.0000,2304367.0000,959.0000,11240.0000,11455.0000,472.0000
Alaska Haine,Alaska,Haines Borough,1300.0000,87482.0000,88827.0000,39396.0000,0.0000,181.0000,265.0000,0.0000
Alaska Junea,Alaska,Juneau City and Borough,16850.0000,1333134.0000,1351129.0000,848815.0000,773.0000,7203.0000,8704.0000,0.0000
Alaska Kenai,Alaska,Kenai Peninsula Borough,28510.0000,1976081.0000,2000491.0000,1237098.0000,1467.0000,6717.0000,9001.0000,297.0000
Alaska Ketch,Alaska,Ketchikan Gateway Borough,7130.0000,479161.0000,486672.0000,318449.0000,303.0000,1626.0000,2083.0000,0.0000
Alaska Kodia,Alaska,Kodiak Island Borough,6670.0000,406083.0000,413024.0000,276017.0000,58.0000,1918.0000,2406.0000,0.0000
Alaska Lake ,Alaska,Lake and Peninsula Borough,680.0000,27062.0000,27375.0000,20764.0000,0.0000,0.0000,0.0000,0.0000
Alaska Matan,Alaska,Matanuska-Susitna Borough,46810.0000,3285401.0000,3318237.0000,2307449.0000,1480.0000,17188.0000,18102.0000,336.0000
Alaska Nome ,Alaska,Nome Census Area,3730.0000,195491.0000,196659.0000,156288.0000,0.0000,268.0000,357.0000,0.0000
Alaska Sitka,Alaska,Sitka City and Borough,4570.0000,313834.0000,319449.0000,186666.0000,149.0000,1027.0000,1111.0000,0.0000
